Term,Abbreviations,Meaning,Links,Category,Rarity,Usage Notes,Questions and to-do items,Markdown Links,In Contract?,
Maintained by Paul Wintz,(If commonly used),,,,How often is the term used in union discussions?,,Questions about anything that is unclear or remains to be filled in.,Comma separated URLs,,
Computational Media,CM,Academic Department at UCSC in the Baskin School of Engineering.,,Academic Department and Divisions,Rare,,,,,
Applied Mathematics,AM,Academic Department at UCSC in the Baskin School of Engineering.,,Academic Department and Divisions,Rare,,,,,
Computer Science and Engineering,CSE,Academic Department at UCSC in the Baskin School of Engineering.,,Academic Department and Divisions,Rare,,,,,
Electrical and Computer Engineering,ECE,Academic Department at UCSC in the Baskin School of Engineering.,,Academic Department and Divisions,Rare,,,,,
Critical Race & Ethnic Studies,CRES,Department at UCSC.,https://cres.ucsc.edu/about/index.html,Academic Department and Divisions,Rare,,,https://cres.ucsc.edu/about/index.html,,
Demonstrations Operations Team,DOT,A shadowy organization within the UC that coordinates reponses to demonstrations.,https://oes.ucsc.edu/emergency-preparedness/procedures/demonstrations-and-protests.html,Academic Department and Divisions,Rare,,,https://oes.ucsc.edu/emergency-preparedness/procedures/demonstrations-and-protests.html,,
Digital Arts and New Media,DANM,Program in the UCSC Arts department.,,Academic Department and Divisions,Rare,,,,,
Environmental Art And Social Practice,EASP,Master of Fine Art (MFA) program in the Art department.,https://art.ucsc.edu/mfa,Academic Department and Divisions,Rare,,,https://art.ucsc.edu/mfa,,
Feminist Studies,FMST,Department at UCSC.,https://feministstudies.ucsc.edu/,Academic Department and Divisions, Uncommon,,,https://feministstudies.ucsc.edu/,,
Film & Digital Media,FDM,Department at UCSC.,,Academic Department and Divisions,Rare,,,,,
Sociology,SOCY ,Department at UCSC.,,Academic Department and Divisions,Rare,,,,,
Global and Community Health Program,GCH,,https://gch.ucsc.edu/,Academic Department and Divisions,Rare,,,,,
Hispanic-Serving Institution Initiatives ,HSI,,https://hsi.ucsc.edu/,Academic Department and Divisions,Rare,,,,,
History of Consciousness,Histcon,A UCSC philosophy department,,Academic Department and Divisions, Uncommon,"The typical  abbreviation is ""histcon"", not ""hiscon"" (unless you are a snake; then it is ""hisscon"")",,,,
Latin American And Latino Studies,LALS,Department at UCSC.,,Academic Department and Divisions,Rare,,,,,
Microbiology & Environmental Toxicology,METX,Department at UCSC.,,Academic Department and Divisions,Rare,,,,,
"Molecular, Cell, and Developmental Biology",MCD Bio,Department at UCSC.,,Academic Department and Divisions,Rare,,,,,
Physical & Biological Sciences Division,PBSci,Academic Division at UCSC,,Academic Department and Divisions, Uncommon,,,,,
Humanities Division,Hum,Academic Division at UCSC,,Academic Department and Divisions, Uncommon,,,,,
Social Sciences Division,Soc Sci,Academic Division at UCSC,,Academic Department and Divisions, Uncommon,,,,,
Arts Division,arts,Academic Division at UCSC,,Academic Department and Divisions,,,,,,
The Humanities Institute,THI,,,Academic Department and Divisions,Rare,,,,,
UC Santa Cruz Foundation,UCSC Foundation,,https://foundation.ucsc.edu/,Academic Department and Divisions,Rare,,,https://foundation.ucsc.edu/,,
Visual Studies,HAVC,Department at UCSC.,,Academic Department and Divisions,Rare,,,,,
bargaining concession,,"In contract negotiations, a concession is when one side agrees to terms which give up previously-held rights or benefits. In the 1980s, when faced with plant closures, many manufacturing unions conceded guaranteed salary increases or job security measures that they had had enjoyed for decades. ",,Contract Bargaining, Uncommon,,,,,
bargaining in bad faith,,"In contract negotiations, a bargaining team is said to be bargaining in bad faith if the bargain without the intent of trying to reach an agreement. Examples of bad faith bargaining include: failing to exchange proposals; failing to offer counter-proposals; canceling sessions without reason; delaying bargaining; failure to meet at an appropriate time/place; regressive or surface bargaining; or general conduct to frustrate the bargaining process.",,Contract Bargaining, Uncommon,,,,,
bargaining in good faith,,"In contract negotiations, both sides must meet on a reasonable timeline and with the intent to reach agreement on terms and conditions of employment throughout the bargaining process. Bargaining in good faith does not require either side to accept a specific proposal or accept concessions.",,Contract Bargaining, Uncommon,,,,,
caucus,,"During contract bargaining, either side can call a caucus, which is a private meeting with their side only to regroup and discuss strategy. ",,Contract Bargaining,Rare,,,,,
closed bargaining,,"In contract negotiations, each side may agree to limit the flow of information into and out of the bargaining room. Under closed bargaining, nobody but members of the bargaining teams can attend bargaining sessions, and negotiators are usually barred from sharing any specifics about what happens at the table. Closed bargaining is common in many industries but rare in higher education.",,Contract Bargaining,  Common,,,,,
open bargaining,,"Each side in a contract negotiation may agree to allow information to flow freely into and out of the bargaining room. Under open bargaining, all union members can attend bargaining sessions, and bargaining teams can communicate in detail about the process, including proposed contract language and their counterparts’ actions at the table. Open bargaining is very common in contemporary higher education union negotiations. Our union has used open bargaining in every contract campaign since 2013",,Contract Bargaining,  Common,,,,,
regressive bargaining,,"A type of bad faith bargaining where one party moves backwards, offering less in a proposal than they previously offered. For example, if the UC offers a 5% raise, and, all things unchanged, comes back later and offers a 3% raise, that would constitute regressive bargaining.",,Contract Bargaining,Rare,,,,,
"sunshine meeting, sunshining",,"The first public delcaration of demands from each side in a contract negotiation is called sunshinging the demands. Labor law in California requires that employers and unions share initial positions in a publicly-held meeting, often called a “sunshine” meeting. 
For the 2025 contract negotiations, the union will sunshine our initial bargaining demands at the end of 2024.",,Contract Bargaining, Uncommon,,,,,
surface bargaining,,"A type of bad faith bargaining where one side meets at the bargaining table but only goes through the motions of bargaining, refusing to make substantive progress.",,Contract Bargaining,Rare,,,,,
tentative agreement,"TA, TA'd","A tentative agreement is a proposal that both sides have signed off on and will appear in the final agreement. Once something is “TA’d”, it will remain “off the table” and neither side can make changes. When a final agreement is reached, the entire agreement is “TA’d” and sent to the membership for ratification. 
See also ""Teaching Assistant"".",,Contract Bargaining, Uncommon,,,,,
academically ineligible / academically eligible,,"Workers may become academically ineligible for employment (how?). Under the UAW contract, this can be just cause for dismissal.",,Contracts and Strikes,Rare,,,,yes,
attestation form,,A document that may be requested by the UC to identify strikers OR a document requested by the union to identify recipients of strike pay. The union has determined that striking workers are not required to submit attestation forms to the UC.,,Contracts and Strikes,  Common,,,,,
bargaining convention,BargCon,"The bargaining convention to prepare for negotions. Consists of elected members collected from each campus. Each division will have a number of candidates porportional to its size. For the 2025 contract negotions, the bargcon will likely be in November.",,Contracts and Strikes, Uncommon,,,,,
bargaining team,BT,A collection of elected union representatives who negotiate with the UC during strikes and contract negotiations. There are two bargaining team members from each campus.,,Contracts and Strikes,  Common,,,,,
collective bargaining agreements,CBA,"A collective bargaining agreement is a contract each bargaining unit signs with the UC to determine wages, benefits, and other terms and conditions of employment. After negotiations between the union's bargaining team and the UC is concluded, the contract is ratified by a vote of all union members, at which point, the bargaining units will have a new collective bargaining agreement. ",,Contracts and Strikes,  Common,,,,yes,
contact enforcement,CE,A group within the union that ensures the union's contracts are respected by the UC.,,Contracts and Strikes,  Common,,,,,
contact enforcement team,,,,Contracts and Strikes, Uncommon,,,,,
